"lat","lng"
19.41136804785047,-99.18567898759846
20.674581645011255,-103.35289378034548
37.76501705575218,-122.42407674909137
47.673473186174746,-122.35429296429199
37.765846597037445,-122.44983673095703
40.761731579205914,-73.96798610687256
20.67443225622801,-103.36989462375641
19.40947886933102,-99.17138771910311
29.592108263828646,-98.61323833465575
29.088564,-110.979332
19.307505294268793,-99.18705255406739
20.667721760467515,-103.37207794189453
-12.076882338666694,-77.08162307739258
25.777817440947462,-100.11489987373358
38.91073773843509,-77.44432210922241
29.092884866585507,-110.96327126026154
40.57484790030712,-73.9616346359253
20.67302192234466,-103.36905241012573
25.64899121038642,-100.28866899537871
38.91502032836387,-77.03172326087952
25.64108431302694,-100.32047220802166
37.785809027757246,-122.4057412147522
32.64455,-115.450922
37.775919,-122.445955
19.410719787533235,-99.17436688454684
20.66176369360012,-103.40539305613657
19.420372838925147,-99.1666853427887
37.33649,-121.894275
19.4095034,-99.17279
25.777817440947462,-100.11489987373358
19.404491213235428,-99.17154550552368
37.782983909083576,-122.46076967345284
19.416899,-99.160837
37.48424912414831,-122.22641944885254
41.411136,2.219227
25.647349,-100.325689
19.410340122356317,-99.17015075683594
19.39606153307067,-99.22643423080444
40.80451416436107,-73.95577737004382
19.411947709330853,-99.16508912183163
43.83223497685968,5.271741961359762
29.096079154483828,-111.02292654662952
-33.4339033137214,-70.63522900010852
32.656773741964365,-115.4124927520752
40.45829537688149,-79.92513743126499
19.416198299060824,-99.17200949586262
25.653732129512726,-100.34899234771729
41.404509249278505,2.1734363158651133
31.831542114497648,-116.60802998145112
19.41864388761032,-99.15780715426872
