"cvegeo","frec"
"090100001231A021",1
"0900300010696010",1
"0900700012615006",1
"0900200011165013",1
"0901000010578028",2
"0900700013505037",1
"0900700014024026",1
"0900500011133009",1
"0900300010643023",1
"0901600010410025",1
"0900700014043012",1
"0900400010195003",1
"0901000011858027",1
"0900700013030010",1
"0900300011410034",1
"0901300010137005",1
"0901000011260003",1
"0901000011487024",1
"0900700010271011",1
"0901100010664009",1
"0901200010498003",1
"0901200011481026",1
"0901200010642017",1
"0900700013721019",1
"0900700015431009",1
"0900500012377020",1
"0901000011699020",1
"0900300011660019",1
"0900800010141008",2
"0901500010860016",1
"090100001167A039",2
"0900500011256007",1
"090050001103A009",3
"0900700010337025",1
"0900500011326002",2
"0901200012013012",1
"0900400010212001",1
"0901000010578013",2
"0901300010368035",1
"0901400010257003",1
"0900600010490021",1
"0901500010593009",1
"0900300010183018",1
"0900700012691017",1
"0900500012907014",1
"0901200010498019",1
"0901500010875004",1
"0901600011207021",1
"090070001305A024",2
"0901300010692009",1
"0901700010530004",1
"0900300010535002",1
"090110011072A006",1
"0900800010103012",1
"0900500012199002",1
"0900700010784006",1
"0901600010181004",1
"0900800010194015",1
"0900700010977011",1
"0900500013229025",1
"0900300010183015",1
"0901300010527050",1
"0901500010589006",1
"0901200012282015",1
"0900500010845017",1
"0900200010129009",1
"0900700010197030",1
"0900700012988038",1
"0900500011576005",1
"0900700011759004",1
"0900700012051041",1
"0901300010226010",1
"0900700014984031",1
"0900500013093026",1
"0900500013252008",2
"0900300010022014",1
"0900500010258001",1
"0900700010750026",1
"0901200010322021",1
"0901700010831019",1
"0901600011160025",2
"0901300010067012",1
"0900700010619021",1
"0901000012324024",2
"0901400010543015",1
"0900700015198007",1
"0901000010510002",1
"0900700013967023",1
"0900700012390016",1
"0901500010080014",1
"0901400010505001",1
"090050001039A020",1
"0900700013401010",1
"0901100010274020",1
"0901400010539019",1
"0901700010441016",1
"0901300010033003",1
"0900700012545027",1
"0900700010835008",2
"0900700012085002",1
"0900500010493010",1
"0900300010215022",1
"0901400010670006",1
"0900500010385047",1
"0900700011180020",1
"0900700012738007",1
"0901000011947010",1
"0901500010165019",1
"0901000011260017",1
"0901000012112002",1
"0900600010611012",1
"090070001209A034",1
"0901600010603011",1
"0900700014359017",1
"090110011072A005",1
"090150001145A005",1
"0901200012225014",1
"090060001001A006",2
"0900500010864030",1
"0900200010684009",1
"0900500012945021",1
"0900700010708027",1
"0900500013341008",1
"0901200010820014",1
"0901600011137015",1
"0901400010030003",1
"0901000011947003",1
"090090029044A013",1
"0901300011328023",2
"0901000011631037",1
"0900700014772010",1
"0900300010817025",1
"0900500013197042",2
"0901200012441034",1
"0901000010385046",1
"090070001294A008",1
"0900700011250017",1
"0901000011824010",1
"0900200010699007",1
"0901400010064002",1
"0901500010856012",1
"0900900330346010",3
"0900500012748017",1
"0901600010730005",1
"0901600010139003",1
"0900600010325004",1
"0901200011068009",1
"0901200010888023",1
"0901400010609013",1
"0901200011903031",1
"090070001166A001",1
"0900300010889017",1
"0900700011509011",1
"0900500011523001",1
"0900500010101025",1
"0901700010371023",1
"0900700014077011",1
"0901100011253001",1
"0901400010609010",1
"0900700010619006",1
"0900700011852003",2
"0900200010932014",1
"0900700013401011",2
"0901200010322006",2
"0901200010962014",1
"090050001181A020",1
"0901600010798034",1
"0900500011951017",1
"0900700012704014",1
"0900700010977013",1
"0900300011158005",1
"0900300011124021",1
"0900500011985034",1
"0900200011057020",1
"0900700013666001",1
"0900300010304001",1
"0900800010211011",1
"0901200271797019",2
"0901200010765022",1
"0901300010758015",3
"0900700011176010",1
"0901000011044020",1
"0900700010411019",1
"0900500012610043",1
"0900800010160014",1
"0900700014024020",1
"0901400010168019",1
"0900400010091005",1
"0901500010199001",1
"0901700010812026",2
"0900700014096005",1
"0901200012441039",1
"0900700014166027",2
"0900500011951003",1
"0900300010516007",2
"0900600010255002",1
"0901700010367003",2
"0900900110401033",1
"0900700014293050",1
"0901500011233021",1
"0901100010058021",1
"0901300010372008",1
"0900700012102011",2
"0901200010125018",1
"0901700010649010",1
"0901200010572009",1
"0900700014908017",1
"0900700014240008",1
"0901400010257010",1
"0900700010498010",1
"0901000011699047",1
"0901000010830001",2
"0901600010285014",1
"0901500011464006",1
"0900800010300003",2
"090150001056A003",2
"0900500011237010",1
"0900500013093033",1
"0900300010713064",1
"0901400010632008",1
"0901700010314016",1
"0900300011660001",2
"0900500011843008",1
"0900300010677008",1
"0901600010711020",1
"0900700010835004",1
"0901200011176001",2
"0901500010555011",2
"090110001154A001",1
"0901300011031024",2
"0900500013093020",1
"0900200010097012",1
"0900700012776050",2
"0900700013670001",1
"0900700010981019",3
"0901700010507004",1
"0901000011434010",1
"0901000011646006",1
"0900700010591021",1
"0900700011015005",1
"0900700010498013",1
"0901700010780018",1
"0900500012625007",1
"0900700012386019",2
"0901200010498010",1
"0900200010311020",1
"0901400010717031",1
"0900500010101036",1
"0901200010360010",1
"090050001135A005",1
"0900700013740030",2
"0900700010360013",1
"0901100010255007",1
"0900200010504005",1
"0901200011161016",1
"0901700010776009",2
"0900500010760019",1
"0901700010121020",1
"0901400010882008",1
"0900700013295020",2
"0901300010372042",1
"0900700013100001",1
"0900300010107008",1
"0900700012102003",1
"0901400010331005",1
"0901100010931031",1
"0900800010546031",1
"0900700010680015",1
"090070001255A041",1
"0900700015198010",1
"0900700010568047",2
"0900700012507030",1
"0900600010096004",1
"0900600010310031",2
"0901500010127002",2
"090050001231A008",1
"090070001127A023",1
"0900200010364009",1
"090140001076A012",1
"090050001060A018",1
"090140001044A006",1
"0901300010527014",1
"0900200010966017",1
"0900300010817008",2
"0901200010816030",1
"0901500010593020",1
"0900700012846026",2
"0900400010091013",1
"0900300011213017",1
"0900700015145008",1
"0900300010179008",1
"0901600010143008",1
"0900200010858048",1
"0900500012659035",1
"0900200010434013",1
"0901400010670001",1
"0901500010682014",1
"0900400010354011",2
"0901500010470010",1
